Task,Platform,Status,PIC,Issue Type,Sprint,Priority,Time Estimate,Parent items,Start Date,End Date,API,Task ID,Worklog,Description,Created By,Date Created,Lastest status,Request by,Week,Parent items 2,Upload
AUTHENTICATION,API,DONE,@Trần Hoàng Duy - 19/04/2006,Task,Category,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
[BE] Đăng nhập tài khoản,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,1,4,AUTHENTICATION,2026/05/11 00:00,2026/05/12 00:00,1,HOSPITAL-1002,0,"Triển khai API đăng nhập (FR-01): nhận username/password, xác thực qua Spring Security, trả về AccessToken (15-30 phút) + RefreshToken (7-30 ngày)",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Làm mới Token,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,1,3,AUTHENTICATION,2026/05/11 00:00,2026/05/12 00:00,2,HOSPITAL-1003,0,"Triển khai API làm mới token (FR-02): nhận RefreshToken, cấp lại AccessToken mới mà không cần đăng nhập lại",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Đăng xuất tài khoản,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,1,3,AUTHENTICATION,2026/05/12 00:00,2026/05/13 00:00,3,HOSPITAL-1004,0,"Triển khai API đăng xuất (FR-03): đưa AccessToken vào bảng TokenBlacklist, Spring Security Filter kiểm tra blacklist mỗi request",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Đăng ký tài khoản bệnh nhân,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,1,3,AUTHENTICATION,2026/05/12 00:00,2026/05/13 00:00,4,HOSPITAL-1005,0,"Triển khai API đăng ký tài khoản bệnh nhân (FR-04): nhận username/password/email, mã hóa BCrypt strength 10+, lưu DB với role PATIENT",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
,,,,,,,,,,,,,,,,,,,,,
USER MANAGEMENT,API,DONE,@Trần Hoàng Duy - 19/04/2006,Task,Category,,,,,,,HOSPITAL-1006,0,,@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
,,,,,,,,,,,,,,,,,,,,,
[BE] CRUD người dùng,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,2,4,USER MANAGEMENT,2026/05/12 00:00,2026/05/13 00:00,"5,6",HOSPITAL-1007,0,"Admin: API CRUD người dùng (FR-05) - tạo mới Doctor/Patient, đọc danh sách có phân trang, cập nhật thông tin, vô hiệu hóa tài khoản. Dùng Stream API để mapping Entity→DTO",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Đổi mật khẩu tài khoản,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,2,3,USER MANAGEMENT,2026/05/12 00:00,2026/05/13 00:00,7,HOSPITAL-1008,0,"API đổi mật khẩu (FR-10 Authenticated): xác thực mật khẩu cũ, mã hóa mật khẩu mới bằng BCrypt, cập nhật DB",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Quên mật khẩu tài khoản,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,2,3,USER MANAGEMENT,2026/05/13 00:00,2026/05/14 00:00,8,HOSPITAL-1009,0,"API quên mật khẩu (FR-10 Public): gửi email reset link hoặc OTP, xác thực token reset, cho phép đặt mật khẩu mới",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
,,,,,,,,,,,,,,,,,,,,,
APPOINTMENT MANAGEMENT,API,TO DO,@Trần Hoàng Duy - 19/04/2006,Task,Category,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
[BE] Đặt lịch khám bệnh,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,1,5,APPOINTMENT MANAGEMENT,2026/05/13 00:00,2026/05/14 00:00,9,HOSPITAL-1011,0,"Patient: API đặt lịch khám (FR-06/UC-04) - tạo Appointment với trạng thái PENDING, kiểm tra trùng lịch bác sĩ, AOP @AfterReturning tự động ghi audit log",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Xem lịch sử khám bệnh,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,2,3,APPOINTMENT MANAGEMENT,2026/05/13 00:00,2026/05/14 00:00,10,HOSPITAL-1012,0,"Patient: API xem lịch sử khám cá nhân (FR-07) - trả về danh sách Appointment của bệnh nhân đang đăng nhập, phân trang, lọc theo trạng thái",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Phê duyệt lịch sử khám bệnh,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 2,1,4,APPOINTMENT MANAGEMENT,2026/05/18 00:00,2026/05/19 00:00,11,HOSPITAL-1013,0,"Admin/Doctor: API phê duyệt lịch khám (FR-08) - chuyển trạng thái PENDING→APPROVED, kiểm tra quyền hạn Role, cập nhật DB và ghi log",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Từ chối lịch khám bệnh,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 2,1,3,APPOINTMENT MANAGEMENT,2026/05/18 00:00,2026/05/19 00:00,12,HOSPITAL-1014,0,"Admin/Doctor: API từ chối lịch khám (FR-08) - chuyển trạng thái PENDING→CANCELLED với lý do từ chối, thông báo cho bệnh nhân",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Hoàn thành ca khám bệnh,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 2,2,2,APPOINTMENT MANAGEMENT,2026/05/18 00:00,2026/05/19 00:00,13,HOSPITAL-1015,0,Doctor: API hoàn thành ca khám - chuyển trạng thái APPROVED→COMPLETED sau khi bác sĩ kết thúc buổi khám,@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
,,,,,,,,,,,,,,,,,,,,,
MEDICAL RECORD,API,DONE,@Trần Hoàng Duy - 19/04/2006,Task,Category,,,,,,,HOSPITAL-1016,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
[BE] Tải hồ sơ bệnh án,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 2,1,5,MEDICAL RECORD,2026/05/19 00:00,2026/05/20 00:00,14,HOSPITAL-1017,0,"Doctor: API tải lên bệnh án (FR-09/UC-05) - nhận MultipartFile (ảnh siêu âm, PDF, xét nghiệm), upload lên Cloudinary/AWS S3 qua SDK, lưu fileUrl vào MedicalRecord. Kiểm tra kích thước ≤10MB",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Xem danh sách bệnh án,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 2,2,3,MEDICAL RECORD,2026/05/19 00:00,2026/05/20 00:00,15,HOSPITAL-1018,0,"Doctor/Admin: API xem danh sách bệnh án của bệnh nhân - trả về MedicalRecord với fileUrl, diagnosis, createdAt, phân trang theo appointmentId",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
[BE] Cập nhật chẩn đoán,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 2,2,2,MEDICAL RECORD,2026/05/19 00:00,2026/05/20 00:00,16,HOSPITAL-1019,0,Doctor: API cập nhật chẩn đoán (diagnosis) trong MedicalRecord - cho phép bổ sung ghi chú sau khi khám xong,@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
,,,,,,,,,,,,,,,,,,,,,
AOP LOGGING,API,DONE,@Trần Hoàng Duy - 19/04/2006,Task,Category,,,,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
[BE] Thiết lập AOP Aspect - Tự động ghi log,API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,1,4,AOP LOGGING,2026/05/14 00:00,2026/05/18 00:00,,HOSPITAL-1021,0,"Thiết lập AOP Aspect class với @AfterReturning và @AfterThrowing: tự động ghi log mọi hành động quan trọng (đặt lịch, duyệt lịch, upload bệnh án) mà không hardcode trong Service layer",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
"[BE] Cấu hình @Around đo phản hồi - Đo phản hồi, ghi log",API,DONE,@Trần Hoàng Duy - 19/04/2006,Sub-task,SPRINT 1,2,3,AOP LOGGING,2026/05/14 00:00,2026/05/18 00:00,,HOSPITAL-1022,0,"Cấu hình @Around advice để đo thời gian phản hồi API (<2 giây), ghi log Request/Response có chứa thông tin UserID, Action, Timestamp, HTTP Status",@Trần Hoàng Duy - 19/04/2006,2026/06/26 08:35,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
